Date,EUR,GBP,JPY,,USD/TND Fixing t,, ,Exchange Date,Mid Price,,,USD/TND Fixing t,USD/TND Fixing t-1,delta fixing,percentage change,,EUR t,EUR t-1,delta EUR/USD %,,GBP t,GBP t-1,delta GBP/USD %,,JPY t,JPY t-1,delta USD/JPY  %,,percentage change,delta EUR/USD %,delta GBP/USD %,delta USD/JPY  %
9/4/2020,1.0927,1.2455,108.46,,2.9064,,,10/4/2020,2.9064,,,2.9064,2.9064,0,0,,1.0927,1.0927,0,,1.2455,1.2455,0,,108.46,108.46,0,,0,0,0,0
10/4/2020,1.0935,1.2452,108.46,,2.9064,,,13/4/2020,2.8968,,,2.9064,2.9064,0,0,,1.0935,1.0927,0.073213142,,1.2452,1.2455,-0.024086712,,108.46,108.46,0,,0,0.073213142,-0.024086712,0
13/4/2020,1.0913,1.2507,107.76,,2.8968,,,14/4/2020,2.8891,,,2.8968,2.9064,-0.0096,-0.330305533,,1.0913,1.0935,-0.201188843,,1.2507,1.2452,0.441696113,,107.76,108.46,-0.645399226,,-0.330305533,-0.201188843,0.441696113,-0.645399226
14/4/2020,1.0979,1.2623,107.2,,2.8891,,,15/4/2020,2.8952,,,2.8891,2.8968,-0.0077,-0.26581055,,1.0979,1.0913,0.604783286,,1.2623,1.2507,0.927480611,,107.2,107.76,-0.519673348,,-0.26581055,0.604783286,0.927480611,-0.519673348
15/4/2020,1.0907,1.2514,107.47,,2.8952,,,16/4/2020,2.90135,,,2.8952,2.8891,0.0061,0.211138417,,1.0907,1.0979,-0.655797431,,1.2514,1.2623,-0.863503129,,107.47,107.2,0.251865672,,0.211138417,-0.655797431,-0.863503129,0.251865672
16/4/2020,1.0835,1.2455,107.94,,2.90135,,,17/4/2020,2.9087,,,2.90135,2.8952,0.00615,0.212420558,,1.0835,1.0907,-0.660126524,,1.2455,1.2514,-0.471471951,,107.94,107.47,0.437331348,,0.212420558,-0.660126524,-0.471471951,0.437331348
17/4/2020,1.0876,1.2499,107.51,,2.9087,,,20/4/2020,2.9051,,,2.9087,2.90135,0.00735,0.253330346,,1.0876,1.0835,0.378403323,,1.2499,1.2455,0.353271778,,107.51,107.94,-0.398369465,,0.253330346,0.378403323,0.353271778,-0.398369465
20/4/2020,1.0862,1.2435,107.61,,2.9051,,,21/4/2020,2.907,,,2.9051,2.9087,-0.0036,-0.123766631,,1.0862,1.0876,-0.128723796,,1.2435,1.2499,-0.512040963,,107.61,107.51,0.093014603,,-0.123766631,-0.128723796,-0.512040963,0.093014603
21/4/2020,1.0856,1.2293,107.76,,2.907,,,22/4/2020,2.9003,,,2.907,2.9051,0.0019,0.065402224,,1.0856,1.0862,-0.055238446,,1.2293,1.2435,-1.141938078,,107.76,107.61,0.13939225,,0.065402224,-0.055238446,-1.141938078,0.13939225
22/4/2020,1.0822,1.2332,107.72,,2.9003,,,23/4/2020,2.918,,,2.9003,2.907,-0.0067,-0.230478156,,1.0822,1.0856,-0.313190862,,1.2332,1.2293,0.317253722,,107.72,107.76,-0.037119525,,-0.230478156,-0.313190862,0.317253722,-0.037119525
