Date,DZD,SAR,CAD,DKK,USD,GBP,JPY,MAD,NOK,SEK,CHF,KWD,AED,EUR,,,BHD,QAR,CNY,MRU
1/1/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/2/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/3/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/4/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/5/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/6/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/7/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/8/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/9/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/10/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/11/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/12/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/13/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/14/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/15/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/16/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/17/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/18/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/19/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/20/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/21/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/22/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/23/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
1/24/2004,0.1781,3.3988,0.9138,20.5241,1.2741,2.257,11.2003,1.3957,18.4491,1.6726,9.9535,4.3237,3.4717,1.5271,,,,,,
